Rank,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs,2026-04-28 After Poules,2026-04-28 After DEs,2026-05-05 After Poules,2026-05-05 After DEs
23,Will P (1741.5),Alberto (1711.8) (-57.8),Etienne (1764.4),Marg (1771.0),Etienne (1792.0),Martin H (1774.4),Anna A (1790.2),Anna A (1790.2),Richard B (1790.5),Richard B (1790.5),Etienne (1792.0),Richard B (1790.5),Etienne (1792.0),Will P (1800.2) (-26.9),Will P (1800.2),Enrik (1803.5),Enrik (1795.9) (-7.6),Colin R (1803.8) (+35.0),Steph (1821.4) (+15.2),Steph (1821.4),Alonzo (1796.5),Alonzo (1796.5),Karsten (1832.9),Will P (1816.6) (-38.9),Garen (1858.2),Tom (1848.6),Tom (1848.6),Tom (1848.6),Willie (1856.9) (+86.3),Amaury (1860.9),Amaury (1860.9),Shevy (1848.2),Shevy (1859.0) (+10.8),Amaury (1860.9),Jonathan (1869.9) (+39.3),Max T (1872.1),Max T (1872.1),Richard B (1876.4) (+71.7),Vincent (1861.3) (-21.7),Max T (1872.1),Max T (1872.1),Vivian (1863.0) (-8.6),Vivian (1869.2) (+6.3),Max T (1872.1),Max T (1872.1),Karsten (1884.1),Pierre (1885.3),Vivian (1885.1) (-33.4),Karsten (1884.1),Pierre (1885.3),Karsten (1884.1),Karsten (1884.1),Max T (1872.1),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),Pierre (1885.3),John H (1884.6) (-32.4),Karsten (1884.1),Alex Y (1881.3) (+5.5),Karsten (1884.1),Pierre (1885.3),Pierre (1885.3),Alejo (1896.6),Pierre (1885.3),Oleg (1895.9) (+24.3),Vadym (1900.4),Oleg (1896.8) (-22.6),Vadym (1886.8) (-12.9),Vadym (1886.8),Anna Z (1887.0),Truuvy (1905.9) (-0.5),Clemens (1901.5),Clemens (1901.4) (-0.1),Clemens (1901.4),Truuvy (1905.0) (-0.4),Clemens (1901.3),James S (1903.2) (+26.2),Anna Z (1918.0) (+51.5),Vadym (1905.9) (-20.8),James S (1919.5) (+42.9),Rudi (1912.2) (-1.1),Truuvy (1903.9),Anna A (1906.7) (+11.7),Alex A (1910.4)
24,Eugene (1734.6),Vincent (1707.8) (-96.3),Martin H (1758.7),Colin R (1757.6) (+17.1),Richard B (1790.5),Charlie (1764.1) (-61.4),Amaury (1786.4) (-18.9),Joshua (1783.0) (+39.3),Anna A (1790.2),Anna A (1790.2),Richard B (1790.5),Anna A (1790.2),Steph (1791.6) (+30.7),Etienne (1792.0),Charlie (1797.8) (+52.0),Will P (1800.2),Anna A (1790.2),Alonzo (1796.5) (+28.2),Steffi (1798.7),Alonzo (1796.5),Tom (1795.8) (+74.8),Enrik (1794.6),Alonzo (1796.5),Alonzo (1796.5),Tom (1848.6),Shevy (1848.2) (-61.4),Shevy (1848.2),Shevy (1848.2),Darran (1851.2) (-15.8),Shevy (1848.2),Shevy (1848.2),Vivian (1831.7) (-46.8),Vivian (1831.7),Shevy (1845.0) (-14.1),Amaury (1860.9),Vivian (1864.9) (+19.0),Vivian (1866.3) (+1.4),Max T (1872.1),Amaury (1860.9),Amaury (1860.9),Vivian (1871.6) (+11.9),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),Vivian (1871.7) (+15.6),Max T (1872.1),Karsten (1884.1),Karsten (1884.1),Richard B (1875.2) (+6.8),Karsten (1884.1),Max T (1872.1),Max T (1872.1),Amaury (1860.9),Max T (1872.1),Max T (1872.1),Max T (1872.1),John H (1880.7) (+37.6),Karsten (1884.1),Karsten (1884.1),Alex Y (1875.8) (-33.6),Nikolas A (1872.3),Alex Y (1872.5) (-8.8),Karsten (1884.1),Karsten (1884.1),Pierre (1885.3),Karsten (1884.1),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Vadym (1886.8),Clemens (1901.5) (-0.1),Pierre (1885.3),Pierre (1885.3),Pierre (1885.3),Clemens (1901.3) (-0.1),Pierre (1897.7) (-42.1),Clemens (1901.2) (-0.1),Rudi (1914.4),Truuvy (1904.2) (-0.4),Rudi (1913.2),Truuvy (1903.9) (-0.3),Clemens (1901.2),Vincent (1904.4) (+15.8),Anna A (1906.7)
25,Colin R (1732.0),Colin R (1687.2) (-44.9),Enrik (1745.8),Joshua (1754.7) (-31.7),Anna A (1790.2),Colin R (1761.6) (-19.0),Martin H (1774.4),Charlie (1781.3) (-49.4),Joshua (1783.0),Joshua (1783.0),Anna A (1790.2),Joshua (1783.0),Anna A (1790.2),Anna A (1790.2),Anna A (1790.2),Lukas N (1794.5) (+15.3),Joshua (1783.0),Enrik (1794.6) (-1.2),Alonzo (1796.5),Enrik (1794.6),Enrik (1794.6),Anna A (1790.2),Lukas N (1792.3) (+6.4),Anna A (1790.2),Will P (1816.6),Will P (1816.6),Will P (1816.6),Will P (1816.6),Shevy (1848.2),Colin R (1811.2),Colin R (1811.2),Richard B (1825.0) (+38.0),Anna A (1817.6) (+27.4),Lukas N (1841.4) (+57.2),Lukas N (1852.5) (+11.0),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),Vivian (1859.7),Vivian (1859.7),Amaury (1860.9),Vincent (1857.0) (-0.7),Vincent (1857.0),Vincent (1857.0),Anna A (1861.9) (+53.1),Amaury (1860.9),Max T (1872.1),Max T (1872.1),Max T (1872.1),Max T (1872.1),John H (1869.7) (-23.7),Anna Z (1865.8),Darran (1860.1) (-27.9),Amaury (1860.9),John H (1866.3) (+29.6),Amaury (1860.9),Max T (1872.1),Max T (1872.1),Max T (1872.1),Max T (1872.1),Max T (1872.1),Max T (1872.1),Max T (1872.1),Anna Z (1878.5) (+68.6),Karsten (1884.1),Vivian (1884.0) (-26.9),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),Pierre (1885.3),Pierre (1885.3),Karsten (1884.1),Karsten (1884.1),Karsten (1884.1),James S (1884.5) (+0.7),Karsten (1884.1),Pierre (1897.7),Truuvy (1904.6),Clemens (1901.2),Truuvy (1904.2),Clemens (1901.2),Pierre (1897.7),Truuvy (1903.6) (-0.3),Truuvy (1903.6)
26,Chrissy (1721.0),Lucas (1679.9) (-65.4),Will P (1743.2),Will P (1743.2),Colin R (1780.6) (+23.0),Steph (1760.9) (-32.3),Steph (1760.9),Martin H (1774.4),Charlie (1781.3),Charlie (1781.3),Joshua (1783.0),Lukas N (1780.9),Tom (1785.8) (+22.3),Joshua (1783.0),Etienne (1787.4) (-4.6),Anna A (1790.2),Etienne (1779.7),Anna A (1790.2),Enrik (1794.6),Anna A (1790.2),Anna A (1790.2),Steph (1789.3),Anna A (1790.2),Steph (1789.3),Alonzo (1796.5),Alonzo (1796.5),Lukas N (1801.1) (+11.9),Colin R (1811.2) (+16.3),Colin R (1811.2),Richard B (1798.4) (+29.2),Aisling (1794.1),Colin R (1811.2),Colin R (1812.7) (+1.5),Vivian (1831.7),Vivian (1845.9) (+14.2),Lukas N (1849.3) (-3.2),Shevy (1845.0),Vivian (1859.7) (-6.6),Alessandro (1855.7),Adrian (1846.2) (+55.3),Vincent (1857.7) (+15.9),Adrian (1846.2),Adrian (1846.2),Vivian (1856.0) (-13.2),Amaury (1860.9),Lukas N (1860.8) (+66.7),Alex Y (1867.3) (-26.6),Richard B (1868.4) (+13.4),Tom S (1863.6),Amaury (1860.9),Anna Z (1865.8) (+14.3),Amaury (1860.9),Will W (1856.8) (+36.3),Patrick (1855.4),Amaury (1860.9),Patrick (1855.4),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),Steph (1869.9) (+25.5),Steph (1869.9),Steph (1869.9),Steph (1867.6) (-2.2),Max T (1872.1),Anna Z (1878.5),Anna Z (1878.5),Anna Z (1878.6) (+0.2),Max T (1872.1),Max T (1872.1),Vivian (1881.5) (+43.6),Vivian (1877.9) (-3.6),Karsten (1884.1),Karsten (1884.1),Ed B (1880.6) (+83.0),Ed B (1880.6),James S (1883.7) (+21.5),Karsten (1884.1),James S (1877.1) (-7.4),Karsten (1884.1),Clemens (1901.2),Pierre (1897.7),Clemens (1901.2),Pierre (1897.7),Oleg (1897.0) (-77.2),Clemens (1901.2),Clemens (1901.2)
27,,,Colin R (1740.5) (+53.4),Enrik (1736.6) (-9.1),Lance (1776.8),Luka (1757.5) (-35.9),Luka (1757.5),Steph (1760.9),Colin R (1767.5) (+17.7),Jonathan (1765.0),Lukas N (1780.9) (-16.9),Jonathan (1765.0),Joshua (1783.0),Willie (1770.7) (-45.8),Megan (1785.0),Joshua (1783.0),Eugene (1779.0) (-39.6),Joshua (1783.0),Anna A (1790.2),Lukas N (1785.9) (+13.8),Steph (1789.3) (-32.2),Lukas N (1785.9),Steph (1789.3),Enrik (1787.3) (+0.2),Anna A (1790.2),Anna A (1790.2),Alonzo (1796.5),Alonzo (1796.5),Alonzo (1805.5) (+9.0),Aisling (1794.1) (-8.7),Anna A (1790.2),Aisling (1794.1),Tom (1810.1) (+35.5),Jonathan (1830.6) (+64.5),Shevy (1845.0),Shevy (1845.0),Lukas N (1826.7) (-22.6),Shevy (1845.0),Shevy (1845.0),Shevy (1845.0),Shevy (1852.4) (+7.4),Alessandro (1837.6),Patrick (1842.0),Patrick (1855.4) (+13.4),Richard B (1858.7) (+29.8),Vincent (1857.0),Amaury (1860.9),Alex Y (1867.8) (+0.5),Amaury (1860.9),Richard B (1860.3) (-14.9),Richard B (1861.4) (+1.1),Patrick (1855.4),Patrick (1855.4),Steph (1855.3),Patrick (1855.4),Will P (1850.1) (+16.5),Patrick (1855.4),Patrick (1855.4),Richard B (1855.5) (+20.7),John H (1863.8) (-20.8),Richard B (1867.4) (-18.3),John H (1863.8),John H (1863.8),John H (1863.8),Max T (1872.1),Max T (1872.1),Max T (1872.1),John H (1863.8),John H (1863.8),Oleg (1880.7) (-16.1),Max T (1872.1),Vincent (1873.6) (-25.1),Vadym (1882.3) (-4.5),Max T (1872.1),Max T (1872.1),Ed B (1880.6),Tom T (1879.6) (+12.0),Max T (1872.1),Vincent (1880.2) (-38.7),Pierre (1897.7),Vincent (1892.5) (+10.2),Pierre (1897.7),Ali (1896.5),Anna A (1895.0),Pierre (1897.7),Pierre (1897.7)
28,,,Eugene (1735.6) (+20.9),Pablo (1727.3),Martin H (1774.4),Joshua (1754.7),Enrik (1747.7),Luka (1757.5),Jonathan (1765.0) (+43.4),Steph (1760.9),Charlie (1780.4) (-0.9),Tom (1763.4) (-70.0),Enrik (1774.8) (+27.1),Tom (1766.6) (-19.2),Joshua (1783.0),Etienne (1779.7) (-7.7),Willie (1770.7),Etienne (1779.7),Richard B (1787.6) (+30.8),Joshua (1783.0),Lukas N (1785.9),Joshua (1783.0),Enrik (1787.1) (-7.5),Joshua (1783.0),Enrik (1787.3),Lukas N (1789.2) (+24.5),Colin R (1794.9) (+23.7),Eugene (1790.4) (+21.7),Aisling (1802.8),Eugene (1790.4),Eugene (1788.0) (-2.3),Anna A (1790.2),Richard B (1803.0) (-22.0),Anna A (1817.6),Tom T (1824.8),Anna A (1817.6),Mark M (1814.3),Fassel (1833.3) (+20.0),Fassel (1840.9) (+7.7),Vincent (1841.8) (-19.5),Adrian (1846.2),Martin H (1832.1) (+47.9),Alessandro (1837.6),Adrian (1846.2),Vincent (1857.0),Patrick (1855.4),Patrick (1855.4),Charlie (1864.1) (-88.5),Vivian (1860.2) (-24.9),Patrick (1855.4),Amaury (1860.9),Steph (1855.3),Steph (1855.3),Adrian L (1840.7),Steph (1852.5) (-2.8),Steph (1844.7) (-7.8),Steph (1853.7) (+9.1),Steph (1852.5) (-1.2),Patrick (1855.4),Amaury (1860.9),John H (1863.8),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),John H (1863.8),Oleg (1871.6) (+46.0),John H (1863.8),Amaury (1860.9),Amaury (1860.9),Max T (1872.1),John H (1863.8),Max T (1872.1),Max T (1872.1),Tom T (1867.6) (-91.8),Tom T (1867.6),Max T (1872.1),Max T (1872.1),Ed B (1867.3) (+16.2),Max T (1872.1),Karsten (1884.1),Karsten (1884.1),Vadym (1885.1) (-20.8),Anna A (1895.0) (-26.2),Colin R (1891.1) (+58.6),Oleg (1897.0),Vivian (1897.2) (-39.0)
29,,,Pablo (1727.3),Jonathan (1721.6) (-56.2),Flavia (1754.7),Enrik (1747.7) (+0.1),Giles (1745.4),Colin R (1749.8) (+11.2),Giulia (1764.2),Luka (1757.5),Maiya (1766.8),Steph (1760.9),Richard B (1773.9) (-16.7),Jonathan (1765.0),Lukas N (1779.2) (+55.8),Willie (1770.7),Colin R (1768.8) (+31.6),Willie (1770.7),Patrick L (1785.0),Etienne (1779.7),Joshua (1783.0),Etienne (1779.7),Joshua (1783.0),Etienne (1779.7),Joshua (1783.0),Enrik (1787.3),Anna A (1790.2),Anna A (1790.2),Will P (1794.5) (-22.2),Anna A (1790.2),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Richard B (1789.2) (-13.8),Anna A (1817.6),Mark M (1814.3),Fassel (1813.3),Mark M (1814.3),Richard B (1825.7) (-50.7),Alessandro (1837.6) (-18.1),Jonathan (1842.2) (+35.2),Tom (1816.5) (-70.9),Martin H (1832.1),Alessandro (1837.6),Patrick (1855.4),Steph (1853.4) (+79.7),Richard B (1855.0) (+7.6),Amaury (1860.9),Alex Y (1859.7) (-8.0),Steph (1855.3) (+6.0),Patrick (1855.4),Adrian L (1840.7) (+10.6),Adrian L (1840.7),Alessandro (1837.6),Adrian L (1840.7),John H (1843.1) (-23.2),Will P (1850.1),Will P (1850.1),Will P (1850.1),Patrick (1855.4),Amaury (1860.9),Patrick (1855.4),Patrick (1855.4),Patrick (1855.4),Amaury (1860.9),John H (1863.8),Amaury (1860.9),Anna Z (1859.3) (-19.4),Anna Z (1860.6) (+1.3),John H (1863.8),Amaury (1860.9),John H (1863.8),John H (1863.8),Anna Z (1865.0) (-41.1),Anna Z (1865.0),Tom T (1867.6),Anna Z (1865.0),Jamie S (1866.2),Ed B (1867.3),Vincent (1882.3) (+2.1),James S (1876.5) (-48.5),Karsten (1884.1),Vadym (1885.1),Vincent (1888.6) (+22.6),Colin R (1891.1),Oleg (1897.0)
30,,,Chrissy (1721.0),Chrissy (1721.0),Joshua (1754.7),Giles (1745.4) (-65.5),Joshua (1743.7) (-11.0),Enrik (1747.7),Steph (1760.9),Enrik (1747.7),Jonathan (1765.0),Luka (1757.5),Perth (1769.6),Richard B (1762.7) (-11.2),Richard B (1778.6) (+15.9),Tom (1766.6),Alonzo (1768.3),Lukas N (1768.1) (+5.6),Joshua (1783.0),Steffi (1779.0) (-19.6),Etienne (1779.7),Steffi (1779.0),Etienne (1779.7),Steffi (1779.0),Steffi (1779.0),Joshua (1783.0),Enrik (1787.3),Enrik (1787.3),Eugene (1790.4),Enrik (1787.3),Richard B (1787.0) (-11.4),Joshua (1783.0),Lukas N (1784.2) (+51.4),Enrik (1787.3),Mark M (1814.3),Jonathan (1807.1) (-62.8),Anna A (1808.7) (-8.8),Anna A (1808.7),Mark M (1814.3),Mark M (1814.3),Alessandro (1837.6),Mark M (1814.3),Tom (1831.5) (+15.1),Martin H (1832.1),Jonathan (1842.2) (+50.7),Richard B (1847.5) (-11.2),Steph (1853.4),Patrick (1855.4),Patrick (1855.4),Adrian L (1852.5) (-44.7),Steph (1855.3),Alessandro (1837.6),Alessandro (1837.6),Anna A (1836.9),Alessandro (1837.6),Adrian L (1840.7),Adrian L (1840.7),Adrian L (1840.7),Anna A (1845.4) (+8.5),Will P (1850.1),Patrick (1855.4),Will P (1850.1),Will P (1850.1),Will P (1850.1),Patrick (1855.4),Amaury (1860.9),Patrick (1855.4),Patrick (1855.4),Patrick (1855.4),Amaury (1860.9),Patrick (1855.4),Amaury (1860.9),Amaury (1860.9),Steph (1864.8) (+22.8),John H (1863.8),Anna Z (1865.0),John H (1863.8),Anna Z (1865.0),Anna Z (1866.5) (+1.5),Max T (1872.1),Max T (1872.1),Max T (1872.1),Karsten (1884.1),Vadym (1885.1),Vadym (1888.6) (+3.5),Colin R (1891.1)
31,,,Alberto (1711.8),Alberto (1711.8),Enrik (1747.5) (+10.9),Will P (1743.2),Will P (1743.2),Giles (1745.4),Luka (1757.5),Giles (1745.4),Steph (1760.9),Enrik (1747.7),Jonathan (1765.0),Luka (1757.5),Willie (1770.7),Jonathan (1765.0),Tom (1766.6),Tom (1766.6),Etienne (1779.7),Willie (1770.7),Steffi (1779.0),Willie (1770.7),Steffi (1779.0),Lukas N (1776.4) (-15.9),Steph (1775.4) (-13.8),Steffi (1779.0),Joshua (1783.0),Joshua (1783.0),Anna A (1790.2),Joshua (1783.0),Joshua (1783.0),Will P (1780.9),Joshua (1783.0),Joshua (1783.0),Julia T (1802.0),Julia T (1795.8) (-6.2),Jonathan (1807.1),Jonathan (1807.1),Anna A (1808.7),Anna A (1808.7),Mark M (1814.3),Will P (1811.4) (+47.7),Will P (1817.7) (+6.4),Richard B (1828.9) (+37.0),Alessandro (1837.6),Alessandro (1837.6),Adrian L (1842.8),Steph (1853.4),Anna A (1849.9) (+53.4),Anna Z (1851.4) (+46.1),Lukas N (1847.2) (+14.1),John H (1836.7) (-33.0),Anna A (1836.9) (+45.9),John H (1836.7),Anna A (1836.9),Alessandro (1837.6),Alessandro (1837.6),Alessandro (1837.6),Steph (1844.4) (-8.1),Alessandro (1837.6),Will P (1850.1),Alessandro (1837.6),Alessandro (1837.6),Alex Y (1838.0) (-55.1),Will P (1850.1),Patrick (1855.4),Richard B (1854.6) (+31.9),Vivian (1852.3) (+3.5),Lukas N (1839.5) (+4.6),Patrick (1855.4),Oleg (1845.2) (-35.6),Patrick (1855.4),Patrick (1855.4),John H (1863.8),James S (1862.2) (+5.5),John H (1863.8),Amaury (1860.9),John H (1863.8),Jamie S (1866.2),Ed B (1867.3),Ed B (1867.3),Vincent (1869.6) (-22.9),John H (1873.1) (+9.3),Karsten (1884.1),Karsten (1884.1),Max V (1886.0) (+23.6)
32,,,Andy R (1707.7),Andy R (1692.1) (-15.5),Will P (1743.2),Pablo (1725.4) (-14.3),Alberto (1740.2) (+28.4),Will P (1743.2),Lance (1754.5) (-56.4),Colin R (1744.4) (-23.1),Luka (1757.5),Charlie (1745.8) (-34.6),Marinko (1764.4),Charlie (1745.8),Tom (1766.6),Luka (1757.5),Jonathan (1765.0),Jonathan (1765.0),Lukas N (1772.2) (+4.1),Jonathan (1765.0),Eugene (1778.0) (+41.8),Giles (1765.4) (+18.0),Willie (1770.7),Willie (1770.7),Willie (1770.7),Steph (1775.4),Steffi (1779.0),Lukas N (1779.2) (-22.0),Enrik (1787.3),Will P (1780.9) (-13.6),Will P (1780.9),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Fergus (1791.2),Pablo (1795.7) (+36.6),Richard B (1804.7) (+15.6),Lukas N (1802.9) (-23.8),Jonathan (1807.1),Jonathan (1807.1),Anna A (1808.7),Anna A (1808.7),Mark M (1814.3),Mark M (1814.3),Martin H (1832.1),Martin H (1832.1),Anna A (1837.7) (+38.6),Will P (1843.7) (+21.0),Steph (1849.3) (-4.1),Will P (1843.7),Alessandro (1837.6),Martin H (1832.1),John H (1836.7),Martin H (1832.1),Will P (1833.6) (+13.2),Anna A (1836.9),Anna A (1836.9),Anna A (1836.9),Alessandro (1837.6),Martin H (1832.1),Lukas N (1842.4) (+23.9),Lukas N (1836.8) (-5.6),Lukas N (1836.8),Alessandro (1837.6),Alex Y (1848.2) (+10.2),Will P (1850.1),Vivian (1848.8) (-35.2),Alessandro (1837.6),Vivian (1837.9) (-14.4),Lukas N (1840.7) (+1.2),Lukas N (1840.7),Steph (1841.8) (+31.2),James S (1851.4) (+24.6),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),Patrick (1855.4),Amaury (1860.9),John H (1863.8),Jamie S (1866.2),Jamie S (1866.2),Ed B (1867.3),Max T (1872.1),Max T (1872.1),Max T (1872.1),Karsten (1884.1)
33,,,Lucas (1702.0) (+22.1),Lucas (1689.9) (-12.1),Pablo (1739.8) (+12.5),Marg (1724.8),Colin R (1738.6) (-22.9),Jonathan (1721.6),Enrik (1747.7),Giulia (1736.3) (-27.8),Enrik (1747.7),Giles (1745.4),Luka (1757.5),Giles (1745.4),Jonathan (1765.0),Richard B (1756.8) (-21.8),Lukas N (1762.4) (-32.1),Luka (1757.5),Willie (1770.7),Luka (1757.5),Willie (1770.7),Jonathan (1765.0),Giles (1765.4),Giles (1765.4),Giles (1765.4),Colin R (1771.2) (+13.4),Jonathan (1776.2) (+11.2),Steffi (1779.0),Joshua (1783.0),Steffi (1779.0),Steffi (1779.0),Steph (1775.4),Miriam (1775.5),Miriam (1775.5),Richard B (1789.2),Richard B (1789.2),Julia T (1795.8),Julia T (1795.8),Lukas N (1802.9),Lukas N (1802.9),Lukas N (1802.9),Lukas N (1802.9),Bowen (1812.0),Anna A (1808.7),Mark M (1814.3),Will P (1823.5) (+47.9),Alessandro (1837.6),Alessandro (1837.6),Will P (1843.7),Alessandro (1837.6),Martin H (1832.1),Colin R (1827.5) (+3.6),Martin H (1832.1),Colin R (1827.5),Martin H (1832.1),Martin H (1832.1),Martin H (1832.1),Richard B (1834.8) (+4.5),Martin H (1832.1),Aisling (1832.0),Alessandro (1837.6),Richard B (1835.3) (-32.1),Richard B (1835.3),Lukas N (1836.8),Alessandro (1837.6),Alessandro (1837.6),Lukas N (1839.3) (+2.5),Lukas N (1834.9) (-4.5),Alessandro (1837.6),Alessandro (1837.6),Aisling (1840.3) (+8.3),Lukas N (1840.7),Steph (1842.0) (+0.2),James S (1856.7) (+5.3),Steph (1857.7) (-7.1),Patrick (1855.4),Ed B (1851.1) (-29.5),Patrick (1855.4),Amaury (1860.9),John H (1863.8),John H (1863.8),Jamie S (1866.2),Ed B (1867.3),Max V (1871.7) (+64.3),Ed B (1867.3),Max T (1872.1)
34,,,Nat (1701.4),Nat (1641.8) (-59.6),Marg (1724.8) (-46.1),Jonathan (1721.6),Lucas H (1722.6),Alberto (1712.4) (-27.7),Giles (1745.4),Martin H (1715.6) (-28.3),Giles (1745.4),Colin R (1737.2) (+16.4),Charlie (1745.8),Colin R (1737.2),Luka (1757.5),Giles (1745.4),Luka (1757.5),Richard B (1756.8),Tom (1768.0) (+1.4),Patrick L (1748.8) (-36.2),Jonathan (1765.0),Colin R (1763.6) (-62.1),Jonathan (1765.0),Jonathan (1765.0),Jonathan (1765.0),Willie (1770.7),Steph (1775.4),Steph (1775.4),Steffi (1779.0),Steph (1775.4),Steph (1775.4),Tom (1774.7) (+5.2),Etienne (1767.1),Etienne (1767.1),Enrik (1787.3),Enrik (1787.3),Pablo (1795.7),Pablo (1795.7),Julia T (1795.8),Julia T (1795.8),Dan (1798.5),Richard B (1800.2) (+24.4),Anna A (1808.7),Julia T (1795.8),Adrian (1808.6) (-37.6),Colin R (1819.6) (+29.5),Martin H (1832.1),Martin H (1832.1),Alessandro (1837.6),Lukas N (1833.1) (+1.7),Adrian L (1830.1) (-22.4),Julia T (1822.7),Colin R (1827.5),Julia T (1822.7),Colin R (1827.5),Colin R (1827.5),Richard B (1830.3) (+7.7),Martin H (1832.1),Aisling (1832.0),Julia T (1822.7),Martin H (1832.1),Martin H (1832.1),Martin H (1832.1),Richard B (1835.3),Lukas N (1836.8),Lukas N (1836.8),Alessandro (1837.6),Martin H (1832.1),Martin H (1832.1),Martin H (1832.1),James S (1837.9),Alessandro (1837.6),Alessandro (1837.6),Patrick (1855.4),Patrick (1855.4),Steph (1838.9) (-18.8),Adam S (1850.1) (+30.3),Tom T (1850.7) (-28.9),Patrick (1855.4),Amaury (1860.9),Amaury (1860.9),John H (1863.8),Jamie S (1866.2),Ed B (1867.3),Jamie S (1866.2),Ed B (1867.3)
35,,,,,Jonathan (1721.6),Alberto (1711.8),Jonathan (1721.6),Marg (1698.1),Martin H (1744.0) (-30.5),Alberto (1712.4),Giulia (1736.3),Giulia (1736.3),Giles (1745.4),Giulia (1736.3),Giles (1745.4),Colin R (1737.2),Richard B (1756.8),Giles (1745.4),Jonathan (1765.0),Giles (1745.4),Patrick L (1762.6) (+13.8),Patrick L (1762.6),Colin R (1763.6),Colin R (1763.6),Lukas N (1764.7) (-11.7),Etienne (1767.1) (+5.9),Willie (1770.7),Willie (1770.7),Steph (1775.4),Alonzo (1773.8) (-31.7),Rakan (1774.3),Alonzo (1773.8),Jonathan (1766.1) (+42.8),Patrick L (1762.6),Caden (1783.7),Joshua (1783.0),Enrik (1787.3),Enrik (1787.3),Pablo (1795.7),Pablo (1795.7),Julia T (1795.8),Julia T (1795.8),Aisling (1801.4) (+53.6),Pablo (1795.7),Shevy (1796.0) (+19.4),Mark M (1814.3),Adam S (1827.2),Adam S (1827.2),Martin H (1832.1),Martin H (1832.1),Colin R (1823.9) (+4.4),Richard B (1822.6) (-38.8),Julia T (1822.7),Richard B (1822.6),Julia T (1822.7),Julia T (1822.7),Julia T (1822.7),Aisling (1832.0) (+39.4),Adrian L (1828.3) (-12.4),Colin R (1822.5) (+14.0),Aisling (1832.0),Aisling (1832.0),Aisling (1832.0),Martin H (1832.1),Martin H (1832.1),Martin H (1832.1),Anna A (1835.2) (+22.1),Aisling (1832.0),Aisling (1832.0),Aisling (1832.0),Alessandro (1837.6),Martin H (1832.1),Martin H (1832.1),Alessandro (1837.6),Alessandro (1837.6),Alessandro (1837.6),Steph (1838.9),Steph (1838.9),Anna A (1844.4) (+15.8),Patrick (1855.4),Patrick (1855.4),Amaury (1860.9),Vincent (1866.0) (-3.6),Jamie S (1866.2),Max V (1862.4) (-9.3),Jamie S (1866.2)
