Fencer,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs
Charlie,"1855.4 (+55.4, #5)","1762.0 (-93.5, #17)","1790.3 (+28.4, #16)","1783.1 (-7.3, #20)","1825.7 (+42.6, #15)","1762.9 (-62.8, #24)","1829.8 (+66.9, #17)","1780.6 (-49.2, #25)",1780.6 (#26),1780.6 (#26),"1779.6 (-1.0, #28)","1744.9 (-34.7, #33)",1744.9 (#36),1744.9 (#33),"1797.5 (+52.6, #24)","1878.1 (+80.6, #12)","1908.8 (+30.7, #11)","1847.5 (-61.3, #21)","1890.9 (+43.3, #12)","1970.3 (+79.4, #4)",1970.3 (#4),1970.3 (#5),1970.3 (#5),1970.3 (#4),1970.3 (#4),1970.3 (#6),"1991.8 (+21.5, #6)","1938.5 (-53.2, #9)","1959.3 (+20.8, #6)","1924.1 (-35.1, #10)",1924.1 (#11),1924.1 (#12),"1947.8 (+23.7, #10)","1869.6 (-78.2, #22)","1908.0 (+38.4, #14)","2093.9 (+186.0, #2)","2089.6 (-4.3, #2)","1985.1 (-104.5, #9)","1989.7 (+4.5, #7)","2008.2 (+18.5, #6)","2011.7 (+3.5, #5)","1972.3 (-39.4, #9)","1979.7 (+7.4, #8)","1934.8 (-44.9, #12)","1961.2 (+26.5, #10)","1895.7 (-65.5, #20)","1942.1 (+46.4, #11)","1856.7 (-85.4, #30)","1880.9 (+24.2, #23)","1873.8 (-7.1, #24)","1927.3 (+53.5, #16)","1903.7 (-23.6, #20)","1945.1 (+41.4, #13)","1948.4 (+3.3, #13)",1948.4 (#13),1948.4 (#13),"1970.6 (+22.2, #11)","2026.5 (+55.9, #6)","2049.4 (+22.9, #4)","2014.6 (-34.8, #8)","2023.1 (+8.4, #7)","2167.9 (+144.8, #4)","2153.0 (-14.9, #3)","2071.6 (-81.3, #6)","2041.8 (-29.9, #7)","2004.0 (-37.8, #10)","2031.0 (+27.0, #7)","1999.0 (-32.0, #11)",1999.0 (#10),1999.0 (#11),1999.0 (#10),1999.0 (#11),1999.0 (#11),1999.0 (#12),1999.0 (#11),1999.0 (#12),1999.0 (#12),1999.0 (#12),1999.0 (#9),1999.0 (#11),"2032.6 (+33.6, #6)","1986.0 (-46.6, #11)"
Chrissy,"1721.0 (-79.0, #26)",1721.0 (#21),1721.0 (#30),1721.0 (#30),"1671.1 (-49.9, #39)",1671.1 (#38),1671.1 (#40),1671.1 (#39),1671.1 (#41),1671.1 (#41),"1702.1 (+31.0, #40)",1702.1 (#40),1702.1 (#43),1702.1 (#42),1702.1 (#43),1702.1 (#43),1702.1 (#43),1702.1 (#42),1702.1 (#43),1702.1 (#44),1702.1 (#44),1702.1 (#44),1702.1 (#45),1702.1 (#45),1702.1 (#47),1702.1 (#47),1702.1 (#47),1702.1 (#47),1702.1 (#48),1702.1 (#48),1702.1 (#51),1702.1 (#52),1702.1 (#54),1702.1 (#54),1702.1 (#60),1702.1 (#60),1702.1 (#60),1702.1 (#61),1702.1 (#63),1702.1 (#62),1702.1 (#64),1702.1 (#63),1702.1 (#66),1702.1 (#67),1702.1 (#69),1702.1 (#68),1702.1 (#73),1702.1 (#72),1702.1 (#73),1702.1 (#72),1702.1 (#73),1702.1 (#72),"1728.8 (+26.7, #67)",1728.8 (#66),1728.8 (#65),1728.8 (#65),1728.8 (#65),1728.8 (#64),1728.8 (#66),1728.8 (#65),1728.8 (#66),1728.8 (#66),1728.8 (#67),1728.8 (#67),1728.8 (#69),1728.8 (#68),1728.8 (#72),1728.8 (#73),1728.8 (#74),1728.8 (#74),1728.8 (#75),1728.8 (#75),1728.8 (#77),1728.8 (#76),1728.8 (#76),1728.8 (#76),1728.8 (#77),1728.8 (#78),1728.8 (#81),1728.8 (#80),1728.8 (#83),1728.8 (#82)
Clemens,,,,,"1827.3 (+27.3, #14)","1849.9 (+22.6, #11)","1903.5 (+53.6, #6)","1956.5 (+53.0, #4)",1956.5 (#4),1956.5 (#5),1956.5 (#5),1956.5 (#5),"1962.2 (+5.7, #5)","1916.5 (-45.7, #10)",1916.5 (#10),1916.5 (#10),1916.5 (#10),1916.5 (#12),1916.5 (#11),1916.5 (#13),1916.5 (#11),1916.5 (#11),1916.5 (#11),1916.5 (#11),1916.5 (#11),1916.5 (#11),"1915.2 (-1.3, #12)",1915.2 (#13),"1914.0 (-1.2, #13)",1914.0 (#12),"1912.9 (-1.1, #12)",1912.9 (#13),"1911.8 (-1.0, #14)",1911.8 (#13),"1910.9 (-0.9, #12)",1910.9 (#14),"1910.0 (-0.9, #15)",1910.0 (#15),"1909.2 (-0.8, #15)",1909.2 (#17),"1908.5 (-0.7, #16)",1908.5 (#15),"1907.8 (-0.7, #15)",1907.8 (#17),"1907.2 (-0.6, #17)",1907.2 (#17),"1906.6 (-0.6, #18)",1906.6 (#18),"1906.1 (-0.5, #17)",1906.1 (#17),"1905.6 (-0.5, #20)",1905.6 (#19),"1905.1 (-0.4, #19)",1905.1 (#20),"1904.7 (-0.4, #21)",1904.7 (#21),"1904.4 (-0.4, #21)",1904.4 (#21),"1904.0 (-0.3, #21)",1904.0 (#19),"1903.7 (-0.3, #20)",1903.7 (#21),"1903.4 (-0.3, #21)",1903.4 (#20),"1903.1 (-0.3, #22)",1903.1 (#21),"1902.9 (-0.2, #21)",1902.9 (#23),"1902.6 (-0.2, #22)",1902.6 (#21),"1902.4 (-0.2, #20)",1902.4 (#22),"1902.2 (-0.2, #24)",1902.2 (#23),"1902.1 (-0.2, #23)",1902.1 (#23),"1901.9 (-0.2, #24)",1901.9 (#23),"1901.7 (-0.2, #23)",1901.7 (#26),"1901.6 (-0.1, #25)",1901.6 (#26)
Colin R,"1732.0 (-68.0, #25)","1687.2 (-44.9, #25)","1741.2 (+54.0, #27)","1759.0 (+17.8, #24)","1781.4 (+22.5, #26)","1762.6 (-18.9, #25)","1740.1 (-22.4, #33)","1751.3 (+11.1, #29)","1768.5 (+17.3, #27)","1745.5 (-23.0, #32)","1722.1 (-23.5, #36)","1738.4 (+16.3, #34)",1738.4 (#37),1738.4 (#34),1738.4 (#36),1738.4 (#35),"1769.6 (+31.1, #29)","1804.5 (+35.0, #23)","1823.6 (+19.1, #22)","1846.7 (+23.1, #22)","1827.5 (-19.2, #22)","1765.6 (-61.9, #33)",1765.6 (#34),1765.6 (#34),"1759.2 (-6.3, #39)","1772.8 (+13.6, #33)","1797.4 (+24.6, #27)","1814.6 (+17.2, #25)",1814.6 (#26),1814.6 (#25),1814.6 (#25),1814.6 (#26),"1816.1 (+1.5, #27)","1749.1 (-67.1, #40)",1749.1 (#45),1749.1 (#42),"1784.1 (+35.1, #36)","1755.4 (-28.8, #45)",1755.4 (#47),1755.4 (#47),"1748.8 (-6.6, #49)","1779.0 (+30.3, #43)",1779.0 (#46),1779.0 (#42),"1792.7 (+13.7, #39)","1823.2 (+30.4, #34)",1823.2 (#37),1823.2 (#36),1823.2 (#37),1823.2 (#36),"1827.4 (+4.2, #35)","1831.0 (+3.7, #33)",1831.0 (#34),1831.0 (#33),1831.0 (#34),1831.0 (#34),"1810.3 (-20.8, #41)","1790.3 (-19.9, #48)","1812.6 (+22.3, #41)","1826.8 (+14.2, #33)","1801.4 (-25.4, #44)","1836.4 (+35.0, #34)",1836.4 (#34),1836.4 (#35),1836.4 (#35),1836.4 (#35),"1825.8 (-10.7, #37)","1820.6 (-5.2, #38)","1798.9 (-21.7, #45)","1823.7 (+24.8, #37)","1842.1 (+18.4, #33)","1790.6 (-51.5, #49)","1790.0 (-0.6, #51)","1805.8 (+15.7, #45)",1805.8 (#45),1805.8 (#45),1805.8 (#47),1805.8 (#47),1805.8 (#51),1805.8 (#49),"1812.2 (+6.5, #48)","1801.7 (-10.6, #53)"
Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1798.6 (-1.4, #34)","1762.8 (-35.8, #48)",1762.8 (#51),1762.8 (#52),1762.8 (#52),1762.8 (#53),1762.8 (#56),1762.8 (#56),1762.8 (#58),1762.8 (#58),1762.8 (#58),1762.8 (#59),1762.8 (#59),1762.8 (#59),1762.8 (#59),1762.8 (#59),1762.8 (#59),1762.8 (#57),1762.8 (#57),1762.8 (#57),1762.8 (#58),1762.8 (#58),1762.8 (#58),1762.8 (#59),1762.8 (#61),1762.8 (#60),1762.8 (#64),1762.8 (#60),1762.8 (#61),1762.8 (#58),1762.8 (#63),1762.8 (#61),1762.8 (#62),1762.8 (#62),1762.8 (#62),1762.8 (#62),1762.8 (#66),1762.8 (#66),1762.8 (#71),1762.8 (#67),1762.8 (#71),1762.8 (#70)
Darran,"1874.2 (+74.2, #1)","1867.0 (-7.3, #7)",1867.0 (#8),1867.0 (#7),1867.0 (#7),1867.0 (#10),1867.0 (#10),1867.0 (#11),1867.0 (#11),1867.0 (#10),1867.0 (#11),1867.0 (#13),1867.0 (#15),1867.0 (#15),1867.0 (#16),1867.0 (#16),1867.0 (#18),1867.0 (#18),1867.0 (#19),1867.0 (#19),1867.0 (#19),1867.0 (#18),1867.0 (#18),1867.0 (#20),1867.0 (#21),1867.0 (#21),1867.0 (#21),1867.0 (#21),"1852.4 (-14.5, #24)","1888.7 (+36.3, #18)",1888.7 (#18),1888.7 (#18),1888.7 (#18),1888.7 (#17),1888.7 (#17),1888.7 (#19),1888.7 (#20),1888.7 (#19),1888.7 (#20),1888.7 (#21),1888.7 (#21),1888.7 (#20),1888.7 (#20),1888.7 (#21),1888.7 (#21),1888.7 (#22),1888.7 (#23),1888.7 (#23),1888.7 (#21),1888.7 (#22),1888.7 (#22),1888.7 (#22),"1862.1 (-26.6, #24)","1907.8 (+45.7, #19)",1907.8 (#20),1907.8 (#20),1907.8 (#20),1907.8 (#20),1907.8 (#20),1907.8 (#18),1907.8 (#19),1907.8 (#19),1907.8 (#20),1907.8 (#19),"1906.1 (-1.8, #21)","1908.9 (+2.8, #18)","1933.5 (+24.6, #16)","1955.5 (+22.1, #17)",1955.5 (#16),1955.5 (#16),1955.5 (#15),1955.5 (#15),"1983.6 (+28.0, #12)","1929.9 (-53.7, #19)",1929.9 (#19),1929.9 (#19),"1942.1 (+12.2, #16)","1992.6 (+50.5, #14)",1992.6 (#10),1992.6 (#12),"1966.7 (-25.9, #15)","1943.1 (-23.6, #19)"
David Roig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1928.1 (+128.1, #15)","2015.3 (+87.2, #8)",2015.3 (#9),2015.3 (#9),2015.3 (#9),2015.3 (#9),2015.3 (#8),2015.3 (#9),2015.3 (#9),2015.3 (#9),2015.3 (#9),2015.3 (#9),2015.3 (#8),2015.3 (#9),"2006.0 (-9.2, #8)",2006.0 (#9),"1997.6 (-8.5, #11)",1997.6 (#9)
Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1773.9 (-26.1, #46)",1773.9 (#48),1773.9 (#48),1773.9 (#52),1773.9 (#52),1773.9 (#54),1773.9 (#54),1773.9 (#54),1773.9 (#55),1773.9 (#54),1773.9 (#54),1773.9 (#54),1773.9 (#54),1773.9 (#55),1773.9 (#54),1773.9 (#54),1773.9 (#55),1773.9 (#56),1773.9 (#56),1773.9 (#56),1773.9 (#57),1773.9 (#58),1773.9 (#57),1773.9 (#59),1773.9 (#56),1773.9 (#58),1773.9 (#55),1773.9 (#59),1773.9 (#59),1773.9 (#60),1773.9 (#60),1773.9 (#60),1773.9 (#60),1773.9 (#64),1773.9 (#63),1773.9 (#65),1773.9 (#64),1773.9 (#68),1773.9 (#68)
Ed B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1798.4 (-1.6, #45)","1883.2 (+84.8, #26)",1883.2 (#26),1883.2 (#27),"1854.6 (-28.6, #33)","1871.1 (+16.6, #28)",1871.1 (#31),1871.1 (#32),1871.1 (#32),1871.1 (#33)
Enrik,,,"1746.0 (-54.0, #25)","1737.0 (-9.0, #27)","1747.2 (+10.3, #31)","1747.7 (+0.5, #29)",1747.7 (#28),1747.7 (#30),1747.7 (#33),1747.7 (#30),1747.7 (#33),1747.7 (#31),"1775.4 (+27.7, #28)","1804.6 (+29.2, #22)",1804.6 (#22),1804.6 (#23),"1796.3 (-8.3, #23)","1783.9 (-12.3, #27)",1783.9 (#30),1783.9 (#28),1783.9 (#29),1783.9 (#28),"1780.3 (-3.6, #29)","1781.1 (+0.8, #28)",1781.1 (#29),1781.1 (#30),1781.1 (#31),1781.1 (#31),1781.1 (#33),1781.1 (#31),1781.1 (#31),1781.1 (#31),1781.1 (#31),1781.1 (#31),1781.1 (#36),1781.1 (#35),1781.1 (#38),1781.1 (#37),1781.1 (#40),1781.1 (#38),1781.1 (#40),1781.1 (#40),1781.1 (#43),1781.1 (#39),1781.1 (#41),1781.1 (#43),1781.1 (#47),1781.1 (#47),1781.1 (#49),1781.1 (#49),1781.1 (#49),1781.1 (#50),1781.1 (#50),1781.1 (#50),1781.1 (#50),1781.1 (#50),1781.1 (#51),1781.1 (#50),1781.1 (#50),1781.1 (#51),1781.1 (#51),1781.1 (#52),1781.1 (#52),1781.1 (#52),1781.1 (#53),1781.1 (#52),1781.1 (#53),1781.1 (#51),1781.1 (#54),1781.1 (#52),1781.1 (#55),1781.1 (#55),1781.1 (#56),1781.1 (#56),1781.1 (#56),1781.1 (#56),1781.1 (#59),1781.1 (#59),1781.1 (#62),1781.1 (#61),1781.1 (#65),1781.1 (#64)
Eric L,"1849.7 (+49.7, #6)","2111.9 (+262.2, #1)","2033.0 (-78.8, #1)","1881.1 (-151.9, #5)","1899.0 (+17.9, #3)",1899.0 (#6),"1894.7 (-4.3, #7)",1894.7 (#7),1894.7 (#7),1894.7 (#7),"1930.4 (+35.7, #6)","1853.8 (-76.6, #14)",1853.8 (#18),1853.8 (#18),"1880.2 (+26.4, #12)","1856.2 (-24.0, #18)",1856.2 (#20),1856.2 (#20),1856.2 (#21),1856.2 (#21),1856.2 (#21),1856.2 (#21),"1935.4 (+79.2, #8)","1895.8 (-39.6, #14)","1925.8 (+30.0, #10)","1965.2 (+39.4, #7)","1997.8 (+32.6, #5)","1916.3 (-81.5, #12)","1956.7 (+40.4, #7)",1956.7 (#8),1956.7 (#8),1956.7 (#9),"1950.0 (-6.7, #9)","1924.7 (-25.3, #11)",1924.7 (#11),1924.7 (#13),"1951.8 (+27.1, #9)","1990.4 (+38.6, #6)",1990.4 (#6),1990.4 (#8),"1968.4 (-22.0, #11)",1968.4 (#10),1968.4 (#9),1968.4 (#8),1968.4 (#7),1968.4 (#7),"2005.7 (+37.2, #5)","1987.5 (-18.2, #6)","1983.0 (-4.5, #7)","2041.1 (+58.1, #4)",2041.1 (#4),2041.1 (#4),"2033.3 (-7.8, #4)","1971.0 (-62.3, #11)","1995.7 (+24.7, #8)","2000.7 (+5.0, #6)","2027.0 (+26.3, #6)","2009.3 (-17.7, #9)",2009.3 (#8),2009.3 (#9),"1989.2 (-20.1, #9)","1924.2 (-65.1, #16)","1985.5 (+61.4, #9)","2132.2 (+146.7, #4)","2108.7 (-23.5, #3)","2240.6 (+131.9, #1)","2200.2 (-40.4, #1)","2176.6 (-23.6, #2)",2176.6 (#2),2176.6 (#3),2176.6 (#2),2176.6 (#2),"2133.8 (-42.8, #2)",2133.8 (#3),2133.8 (#3),2133.8 (#4),"2087.3 (-46.5, #4)","2085.8 (-1.5, #5)",2085.8 (#4),2085.8 (#4),"2099.9 (+14.1, #3)","2105.8 (+5.9, #3)"
Etienne,,,"1765.4 (-34.6, #23)","1792.8 (+27.4, #17)",1792.8 (#22),1792.8 (#20),1792.8 (#21),1792.8 (#21),1792.8 (#22),1792.8 (#22),1792.8 (#23),1792.8 (#22),1792.8 (#23),1792.8 (#24),"1788.5 (-4.3, #26)","1780.0 (-8.4, #28)",1780.0 (#26),1780.0 (#28),1780.0 (#31),1780.0 (#29),1780.0 (#30),1780.0 (#29),1780.0 (#30),1780.0 (#29),"1760.9 (-19.1, #38)","1767.4 (+6.6, #36)",1767.4 (#38),1767.4 (#37),1767.4 (#38),1767.4 (#37),1767.4 (#38),1767.4 (#36),1767.4 (#35),1767.4 (#34),"1774.6 (+7.2, #40)","1775.3 (+0.7, #38)",1775.3 (#40),1775.3 (#39),1775.3 (#42),1775.3 (#40),1775.3 (#43),1775.3 (#45),1775.3 (#48),1775.3 (#44),1775.3 (#46),1775.3 (#46),1775.3 (#50),1775.3 (#50),1775.3 (#52),1775.3 (#52),1775.3 (#52),1775.3 (#53),1775.3 (#52),1775.3 (#52),1775.3 (#52),1775.3 (#52),1775.3 (#53),1775.3 (#52),1775.3 (#52),1775.3 (#53),1775.3 (#53),1775.3 (#54),1775.3 (#54),1775.3 (#55),1775.3 (#56),1775.3 (#55),1775.3 (#57),1775.3 (#54),"1780.0 (+4.7, #55)","1758.3 (-21.7, #60)",1758.3 (#64),1758.3 (#62),1758.3 (#63),1758.3 (#63),1758.3 (#63),1758.3 (#63),1758.3 (#67),1758.3 (#67),1758.3 (#72),1758.3 (#68),1758.3 (#72),1758.3 (#71)
Eugene,"1734.6 (-65.4, #24)","1714.7 (-19.9, #22)","1736.4 (+21.7, #28)","1824.9 (+88.6, #12)",1824.9 (#16),1824.9 (#16),1824.9 (#18),1824.9 (#17),1824.9 (#17),1824.9 (#19),1824.9 (#21),1824.9 (#20),1824.9 (#21),1824.9 (#21),"1810.1 (-14.9, #21)","1819.1 (+9.0, #22)","1779.6 (-39.5, #27)","1737.0 (-42.6, #36)",1737.0 (#38),1737.0 (#36),"1779.5 (+42.5, #32)","1762.0 (-17.5, #36)",1762.0 (#37),1762.0 (#37),1762.0 (#37),1762.0 (#39),"1771.5 (+9.5, #35)","1793.4 (+21.9, #28)",1793.4 (#29),1793.4 (#28),"1791.1 (-2.3, #27)","1744.6 (-46.5, #41)","1758.7 (+14.1, #40)","1727.9 (-30.8, #45)","1704.1 (-23.8, #59)","1719.0 (+14.9, #53)",1719.0 (#55),1719.0 (#56),1719.0 (#58),1719.0 (#58),"1691.2 (-27.8, #66)","1706.8 (+15.6, #61)",1706.8 (#64),1706.8 (#65),"1703.9 (-2.9, #68)","1751.2 (+47.4, #55)","1746.2 (-5.0, #59)","1748.4 (+2.1, #58)",1748.4 (#60),1748.4 (#60),"1728.3 (-20.1, #66)","1670.4 (-57.9, #77)","1699.5 (+29.1, #74)","1666.0 (-33.5, #77)",1666.0 (#77),1666.0 (#77),1666.0 (#79),1666.0 (#79),1666.0 (#81),1666.0 (#81),1666.0 (#81),1666.0 (#81),"1672.0 (+6.0, #81)","1627.8 (-44.2, #88)","1640.1 (+12.3, #89)","1639.5 (-0.6, #89)",1639.5 (#92),1639.5 (#92),"1681.7 (+42.2, #86)","1641.7 (-40.1, #92)",1641.7 (#94),1641.7 (#94),"1683.8 (+42.1, #91)","1698.8 (+15.0, #86)","1700.6 (+1.8, #84)","1671.9 (-28.7, #93)","1699.1 (+27.2, #87)","1704.2 (+5.1, #85)",1704.2 (#90),1704.2 (#89),1704.2 (#92),1704.2 (#90)
Fassel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1814.7 (+14.7, #28)","1834.9 (+20.2, #28)","1841.9 (+7.0, #28)","2089.2 (+247.2, #2)","2097.8 (+8.6, #2)","2083.4 (-14.4, #3)","2077.3 (-6.1, #3)","2118.6 (+41.3, #3)",2118.6 (#2),2118.6 (#2),"2058.3 (-60.3, #2)","2072.0 (+13.7, #3)","2026.9 (-45.1, #5)","2009.1 (-17.8, #6)","1974.7 (-34.4, #8)","2019.3 (+44.6, #8)","2007.1 (-12.2, #6)","2042.8 (+35.7, #5)","2034.2 (-8.6, #5)","1970.4 (-63.9, #10)","1972.3 (+2.0, #9)","2011.1 (+38.8, #8)","2010.4 (-0.7, #7)","2021.4 (+11.0, #7)",2021.4 (#8),2021.4 (#8),2021.4 (#8),2021.4 (#9),"2028.0 (+6.6, #8)","2015.7 (-12.3, #7)",2015.7 (#8),2015.7 (#8),2015.7 (#8),2015.7 (#8),2015.7 (#7),2015.7 (#8),2015.7 (#8),2015.7 (#8),2015.7 (#8),2015.7 (#8),"2005.7 (-10.1, #11)","2149.7 (+144.0, #2)","2139.7 (-10.0, #2)","2135.3 (-4.4, #2)",2135.3 (#2),2135.3 (#2)
Feddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1754.4 (-45.6, #48)","1735.3 (-19.1, #52)",1735.3 (#53),1735.3 (#54),1735.3 (#57),1735.3 (#58),1735.3 (#59),1735.3 (#59),1735.3 (#63),1735.3 (#62),1735.3 (#64),1735.3 (#64),1735.3 (#64),1735.3 (#64),1735.3 (#64),1735.3 (#63),1735.3 (#63),1735.3 (#63),1735.3 (#63),1735.3 (#62),1735.3 (#63),1735.3 (#63),1735.3 (#63),1735.3 (#63),1735.3 (#64),1735.3 (#64),1735.3 (#67),1735.3 (#66),1735.3 (#70),1735.3 (#70),1735.3 (#71),1735.3 (#71),1735.3 (#72),1735.3 (#72),1735.3 (#73),1735.3 (#72),1735.3 (#72),1735.3 (#72),1735.3 (#75),1735.3 (#76),1735.3 (#79),1735.3 (#78),1735.3 (#81),1735.3 (#79)
Fedor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1792.7 (-7.3, #55)","1736.5 (-56.2, #77)",1736.5 (#80),1736.5 (#78)
Fergus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1791.2 (-8.8, #33)","1711.3 (-79.9, #58)","1676.8 (-34.5, #64)","1630.6 (-46.2, #66)",1630.6 (#69),1630.6 (#69),"1639.0 (+8.4, #70)","1638.8 (-0.3, #70)","1654.3 (+15.6, #72)","1663.2 (+8.8, #72)","1672.3 (+9.2, #73)","1675.3 (+3.0, #73)",1675.3 (#78),1675.3 (#76),"1694.1 (+18.8, #76)","1659.7 (-34.3, #79)",1659.7 (#81),1659.7 (#80),1659.7 (#80),1659.7 (#80),1659.7 (#80),1659.7 (#80),"1664.3 (+4.5, #80)","1687.6 (+23.4, #75)","1698.4 (+10.8, #76)","1672.4 (-26.0, #80)","1663.3 (-9.1, #82)",1663.3 (#82),"1655.0 (-8.3, #85)","1647.8 (-7.2, #85)","1668.2 (+20.4, #85)","1700.5 (+32.3, #77)",1700.5 (#80),1700.5 (#82),1700.5 (#83),1700.5 (#83),"1698.8 (-1.7, #85)","1683.7 (-15.2, #87)","1686.0 (+2.3, #90)","1700.0 (+14.0, #85)",1700.0 (#85),1700.0 (#84),"1700.2 (+0.2, #86)","1679.8 (-20.4, #92)",1679.8 (#96),1679.8 (#96),"1711.6 (+31.8, #91)","1715.7 (+4.0, #85)"
Flavia,,,,,"1753.9 (-46.1, #30)","1683.0 (-70.9, #36)","1675.3 (-7.7, #39)","1624.4 (-50.9, #41)",1624.4 (#43),1624.4 (#43),"1623.0 (-1.5, #46)","1606.4 (-16.6, #46)",1606.4 (#49),1606.4 (#49),1606.4 (#50),1606.4 (#50),1606.4 (#51),1606.4 (#51),1606.4 (#53),1606.4 (#52),1606.4 (#52),1606.4 (#52),1606.4 (#54),1606.4 (#53),1606.4 (#55),1606.4 (#55),1606.4 (#55),1606.4 (#55),1606.4 (#56),1606.4 (#56),1606.4 (#58),1606.4 (#58),1606.4 (#59),1606.4 (#59),1606.4 (#65),1606.4 (#65),1606.4 (#67),1606.4 (#67),1606.4 (#70),1606.4 (#70),1606.4 (#71),1606.4 (#71),1606.4 (#74),1606.4 (#75),1606.4 (#76),1606.4 (#76),1606.4 (#81),1606.4 (#81),1606.4 (#83),1606.4 (#83),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#84),1606.4 (#87),1606.4 (#87),1606.4 (#88),1606.4 (#88),1606.4 (#89),1606.4 (#89),1606.4 (#91),1606.4 (#91),1606.4 (#94),1606.4 (#94),1606.4 (#95),1606.4 (#95),1606.4 (#97),1606.4 (#96),1606.4 (#99),1606.4 (#98),1606.4 (#99),1606.4 (#98),1606.4 (#100),1606.4 (#101),1606.4 (#104),1606.4 (#104),1606.4 (#107),1606.4 (#107)
Garen,,,,,,,,,,,,,,,,,,,,,,,,,"1858.8 (+58.8, #24)","1917.3 (+58.5, #10)",1917.3 (#11),1917.3 (#11),1917.3 (#12),1917.3 (#11),"1950.7 (+33.5, #9)","2158.2 (+207.5, #1)","2153.8 (-4.4, #1)","2267.4 (+113.6, #1)",2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),2267.4 (#1),"2213.8 (-53.5, #1)","2058.1 (-155.7, #4)",2058.1 (#3),2058.1 (#4),2058.1 (#3),2058.1 (#3),2058.1 (#3),2058.1 (#2),2058.1 (#2),2058.1 (#3),2058.1 (#3),2058.1 (#3),2058.1 (#3),2058.1 (#3),"2045.5 (-12.6, #5)",2045.5 (#6),"2033.8 (-11.6, #6)",2033.8 (#7),"2023.1 (-10.7, #7)",2023.1 (#8),"2013.3 (-9.8, #9)",2013.3 (#9),"2004.2 (-9.1, #10)",2004.2 (#10),"1995.9 (-8.3, #11)",1995.9 (#12),"1988.2 (-7.7, #12)",1988.2 (#12),"1981.1 (-7.1, #14)",1981.1 (#15),"1974.7 (-6.5, #15)",1974.7 (#15),"1968.7 (-6.0, #15)",1968.7 (#17),"1963.2 (-5.5, #16)",1963.2 (#16),"1958.1 (-5.1, #17)",1958.1 (#16)
